| Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
| tanbeta = 10, m0 = 100 m12 = 140 | 1.25502, 1.33572, 1.17432 | 2.65305, 3.13112, 2.17497 | 17.0699, 18.4594, 15.6804 | 0.456967, 0.478415, 0.435519 | 15.1153, 17.3953, 12.8352 | 16.6182, 18.3425, 14.8939 | 4.36734, 5.18844, 3.54624 | 1.494, 1.78308, 1.20492 | 16, 18.3485, 13.6515 | 53.3624, 58.7749, 47.9499 | 
| tanbeta = 10, m0 = 100 m12 = 160 | 0.708016, 0.756189, 0.659843 | 1.52828, 1.81102, 1.24554 | 7.77552, 8.35287, 7.19817 | 0.346213, 0.362757, 0.32967 | 8.07619, 9.30286, 6.84951 | 9.9525, 10.961, 8.94402 | 2.28247, 2.7154, 1.84953 | 0.757, 0.913444, 0.600556 | 7.35, 8.52586, 6.17414 | 27.4584, 30.2003, 24.7165 | 
| tanbeta = 10, m0 = 100 m12 = 180 | 0.417523, 0.446656, 0.38839 | 0.91658, 1.09122, 0.741936 | 4.11324, 4.39895, 3.82753 | 0.264343, 0.277483, 0.251202 | 4.44342, 5.11341, 3.77344 | 6.17213, 6.78427, 5.55999 | 1.23042, 1.47055, 0.990279 | 0.403, 0.491687, 0.314313 | 3.61, 4.23971, 2.98029 | 14.8926, 16.3869, 13.3983 | 
| tanbeta = 10, m0 = 100 m12 = 200 | 0.255462, 0.273768, 0.237157 | 0.56973, 0.67997, 0.45949 | 2.38161, 2.53972, 2.2235 | 0.203501, 0.213862, 0.19314 | 2.5454, 2.92567, 2.16512 | 3.95, 4.33753, 3.56247 | 0.685154, 0.819617, 0.550692 | 0.2233, 0.2752, 0.1714 | 1.87, 2.22329, 1.51671 | 8.37557, 9.2046, 7.54655 | 
| tanbeta = 10, m0 = 100 m12 = 220 | 0.160933, 0.17274, 0.149127 | 0.364727, 0.437195, 0.292259 | 1.47311, 1.56662, 1.3796 | 0.157927, 0.166153, 0.149701 | 1.50861, 1.73575, 1.28148 | 2.6, 2.85587, 2.34413 | 0.3955, 0.476558, 0.314442 | 0.1283, 0.159967, 0.0966328 | 1, 1.20363, 0.796371 | 4.89, 5.36978, 4.41022 | 
| tanbeta = 10, m0 = 100 m12 = 240 | 0.103842, 0.111553, 0.0961315 | 0.23953, 0.288066, 0.190993 | 0.955635, 1.01451, 0.896764 | 0.123841, 0.130443, 0.117239 | 0.909411, 1.04628, 0.77254 | 1.74157, 1.91487, 1.56827 | 0.2359, 0.286861, 0.184939 | 0.076, 0.0958319, 0.0561681 | 0.559, 0.681399, 0.436601 | 2.96, 3.26605, 2.65395 | 
| tanbeta = 10, m0 = 100 m12 = 260 | 0.0683775, 0.0735838, 0.0631712 | 0.160619, 0.193978, 0.12726 | 0.644085, 0.682356, 0.605814 | 0.0977901, 0.103027, 0.0925528 | 0.565843, 0.65184, 0.479846 | 1.19319, 1.31448, 1.07189 | 0.1442, 0.176787, 0.111613 | 0.0461, 0.0587729, 0.0334271 | 0.32, 0.394976, 0.245024 | 1.83, 2.02998, 1.63002 | 
| tanbeta = 10, m0 = 100 m12 = 280 | 0.0458291, 0.0493344, 0.0423239 | 0.109564, 0.132933, 0.0861957 | 0.446911, 0.472811, 0.421011 | 0.0778797, 0.0821747, 0.0735848 | 0.355477, 0.409267, 0.301687 | 0.830637, 0.916516, 0.744758 | 0.09008, 0.111425, 0.0687353 | 0.0285, 0.0368272, 0.0201728 | 0.188, 0.23503, 0.14097 | 1.15, 1.2825, 1.0175 | 
| tanbeta = 10, m0 = 100 m12 = 300 | 0.0311597, 0.0335687, 0.0287507 | 0.076085, 0.0926824, 0.0594875 | 0.317848, 0.335892, 0.299804 | 0.0625647, 0.0661127, 0.0590167 | 0.228233, 0.262627, 0.193839 | 0.584604, 0.646236, 0.522972 | 0.05741, 0.0716804, 0.0431396 | 0.0181, 0.023587, 0.012613 | 0.113, 0.143116, 0.0828844 | 0.742, 0.832616, 0.651384 | 
| tanbeta = 10, m0 = 100 m12 = 320 | 0.0214718, 0.0231849, 0.0197587 | 0.0535364, 0.0654716, 0.0416012 | 0.230966, 0.243809, 0.218123 | 0.0505834, 0.0534643, 0.0477025 | 0.149, 0.172067, 0.125933 | 0.415887, 0.461219, 0.370554 | 0.03725, 0.046936, 0.027564 | 0.0116, 0.0153206, 0.00787937 | 0.0687, 0.0881272, 0.0492728 | 0.484, 0.546224, 0.421776 | 
| tanbeta = 10, m0 = 100 m12 = 340 | 0.0149542, 0.0161475, 0.0137609 | 0.0382527, 0.0470142, 0.0294911 | 0.170545, 0.17991, 0.16118 | 0.0411803, 0.0435773, 0.0387832 | 0.0985, 0.114191, 0.0828094 | 0.298473, 0.330953, 0.265993 | 0.02459, 0.0312861, 0.0178939 | 0.00757, 0.0101198, 0.00502022 | 0.0425248, 0.0553375, 0.029712 | 0.32, 0.363399, 0.276601 | 
| tanbeta = 10, m0 = 100 m12 = 360 | 0.0105266, 0.0113685, 0.00968468 | 0.0275765, 0.0340197, 0.0211333 | 0.12789, 0.1348, 0.12098 | 0.0337231, 0.035709, 0.0317371 | 0.066, 0.0768886, 0.0551114 | 0.21659, 0.240919, 0.192262 | 0.01641, 0.0210798, 0.0117402 | 0.005, 0.00676753, 0.00323247 | 0.0266418, 0.035288, 0.0179955 | 0.214745, 0.245714, 0.183776 | 
| tanbeta = 10, m0 = 100 m12 = 380 | 0.00745814, 0.0080461, 0.00687019 | 0.0200941, 0.0248863, 0.015302 | 0.0971454, 0.102344, 0.0919471 | 0.0277687, 0.0294334, 0.026104 | 0.0446, 0.0522065, 0.0369935 | 0.157692, 0.17618, 0.139204 | 0.01117, 0.0144914, 0.00784861 | 0.00334, 0.00457254, 0.00210746 | 0.0169027, 0.0228196, 0.0109858 | 0.144277, 0.166816, 0.121737 | 
| tanbeta = 10, m0 = 100 m12 = 400 | 0.00532741, 0.00573173, 0.00492309 | 0.0147813, 0.018382, 0.0111805 | 0.0745405, 0.0784603, 0.0706207 | 0.0229982, 0.0243763, 0.02162 | 0.0304, 0.0357718, 0.0250282 | 0.115653, 0.129008, 0.102298 | 0.007694, 0.010084, 0.00530399 | 0.002262, 0.00313501, 0.00138899 | 0.0108411, 0.0148754, 0.00680689 | 0.0983344, 0.114949, 0.0817195 | 
| tanbeta = 10, m0 = 100 m12 = 420 | 0.00384486, 0.00413767, 0.00355206 | 0.0109682, 0.013697, 0.00823948 | 0.0577854, 0.0608148, 0.054756 | 0.0191417, 0.0203018, 0.0179816 | 0.0208399, 0.0247288, 0.0169511 | 0.0849773, 0.0951904, 0.0747643 | 0.00535, 0.00708193, 0.00361807 | 0.001539, 0.00216223, 0.000915768 | 0.00701743, 0.00980133, 0.00423352 | 0.0673943, 0.0795966, 0.0551921 | 
| tanbeta = 10, m0 = 100 m12 = 440 | 0.00277775, 0.00298876, 0.00256675 | 0.00818794, 0.0102638, 0.00611212 | 0.0452482, 0.0476132, 0.0428832 | 0.0160048, 0.0169969, 0.0150128 | 0.01433, 0.0171459, 0.011514 | 0.0628094, 0.070533, 0.0550857 | 0.00376, 0.00503098, 0.00248902 | 0.001058, 0.00150564, 0.000610356 | 0.00458287, 0.00651653, 0.0026492 | 0.0465342, 0.055584, 0.0374845 | 
| tanbeta = 10, m0 = 100 m12 = 460 | 0.00202485, 0.00217382, 0.00187587 | 0.00615844, 0.00775634, 0.00456054 | 0.0357296, 0.0375847, 0.0338745 | 0.0134449, 0.0142836, 0.0126063 | 0.00990088, 0.0119754, 0.00782638 | 0.0465997, 0.0524744, 0.0407249 | 0.002651, 0.00358589, 0.00171611 | 0.000732, 0.00105573, 0.000408268 | 0.00303927, 0.00439529, 0.00168324 | 0.0324481, 0.0392038, 0.0256923 | 
| tanbeta = 10, m0 = 100 m12 = 480 | 0.00148198, 0.00158894, 0.00137502 | 0.00466071, 0.00589964, 0.00342177 | 0.0283085, 0.0297572, 0.0268598 | 0.0113345, 0.0120465, 0.0106225 | 0.00687803, 0.00841259, 0.00534346 | 0.0347833, 0.039238, 0.0303287 | 0.001898, 0.00259522, 0.00120078 | 0.00051, 0.000745465, 0.000274535 | 0.00200755, 0.00295658, 0.00105852 | 0.0226073, 0.0275679, 0.0176468 | 
