 | Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg | 
 |(scale=1.0) m0=1020, m1/2=200, tanbeta=10, A0=0, sign(mu)=+ve| 0.037595 | 0.0051021 | 2.65085 | 2.8671e-06 | 0.00289 | 0.0214 | 0.005007 | 0.0004582 | 1.15 | 0.323 |
 |(scale=1.0) m0=1020, m1/2=220, tanbeta=10, A0=0, sign(mu)=+ve| 0.027436 | 0.00446118 | 1.71779 | 2.8195e-06 | 0.0025 | 0.0188 | 0.004159 | 0.0003838 | 0.616 | 0.229 |
 |(scale=1.0) m0=1020, m1/2=240, tanbeta=10, A0=0, sign(mu)=+ve| 0.0201437 | 0.00386564 | 1.14865 | 2.7671e-06 | 0.00213 | 0.0164 | 0.003398 | 0.0003183 | 0.341 | 0.163 |
 |(scale=1.0) m0=1020, m1/2=260, tanbeta=10, A0=0, sign(mu)=+ve| 0.0148528 | 0.00333114 | 0.790662 | 2.7125e-06 | 0.00179 | 0.0141 | 0.002696 | 0.0002616 | 0.193 | 0.117 |
 |(scale=1.0) m0=1020, m1/2=280, tanbeta=10, A0=0, sign(mu)=+ve| 0.0109876 | 0.00285763 | 0.556216 | 2.6523e-06 | 0.00149 | 0.012 | 0.00215 | 0.0002138 | 0.113 | 0.0841 |
 |(scale=1.0) m0=1020, m1/2=300, tanbeta=10, A0=0, sign(mu)=+ve| 0.0081427 | 0.00243746 | 0.398738 | 2.5904e-06 | 0.00123 | 0.0102 | 0.00171 | 0.0001729 | 0.067 | 0.0607 |
 |(scale=1.0) m0=1020, m1/2=320, tanbeta=10, A0=0, sign(mu)=+ve| 0.0060752 | 0.00206994 | 0.290682 | 2.52857e-06 | 0.00101 | 0.00854 | 0.0013558 | 0.0001388 | 0.0406 | 0.044 |
 |(scale=1.0) m0=1020, m1/2=340, tanbeta=10, A0=0, sign(mu)=+ve| 0.0045387 | 0.00175149 | 0.215043 | 2.46257e-06 | 0.00082 | 0.00712 | 0.0010681 | 0.0001115 | 0.0249 | 0.0319 |
 |(scale=1.0) m0=1020, m1/2=360, tanbeta=10, A0=0, sign(mu)=+ve| 0.00339671 | 0.00147687 | 0.161101 | 2.39425e-06 | 0.000662 | 0.00591 | 0.0008401 | 8.88e-05 | 0.0155 | 0.0232 |
 |(scale=1.0) m0=1020, m1/2=380, tanbeta=10, A0=0, sign(mu)=+ve| 0.0025537 | 0.00124102 | 0.121944 | 2.32458e-06 | 0.000531 | 0.00487 | 0.0006594 | 7.04e-05 | 0.00983 | 0.0169 |
 |(scale=1.0) m0=1020, m1/2=400, tanbeta=10, A0=0, sign(mu)=+ve| 0.00192689 | 0.0010396 | 0.093208 | 2.25532e-06 | 0.000423 | 0.00399 | 0.0005168 | 5.56e-05 | 0.00628 | 0.0124 |
 |(scale=1.0) m0=1020, m1/2=420, tanbeta=10, A0=0, sign(mu)=+ve| 0.00145543 | 0.000871493 | 0.071887 | 2.18152e-06 | 0.000336 | 0.00326 | 0.0004052 | 4.377e-05 | 0.00405 | 0.00905 |
 |(scale=1.0) m0=1020, m1/2=440, tanbeta=10, A0=0, sign(mu)=+ve| 0.00110196 | 0.000726426 | 0.0560147 | 2.11008e-06 | 0.000265 | 0.00265 | 0.0003169 | 3.439e-05 | 0.00264 | 0.00663 |
 |(scale=1.0) m0=1020, m1/2=460, tanbeta=10, A0=0, sign(mu)=+ve| 0.00083691 | 0.000606099 | 0.0438607 | 2.03786e-06 | 0.000208 | 0.00214 | 0.0002479 | 2.694e-05 | 0.00173 | 0.00486 |
 |(scale=1.0) m0=1020, m1/2=480, tanbeta=10, A0=0, sign(mu)=+ve| 0.00063712 | 0.000504835 | 0.0346209 | 1.96795e-06 | 0.000163 | 0.00173 | 0.0001939 | 2.094e-05 | 0.00114 | 0.00357 |
 |(scale=1.0) m0=1020, m1/2=500, tanbeta=10, A0=0, sign(mu)=+ve| 0.000485616 | 0.000420616 | 0.0274553 | 1.89327e-06 | 0.000127 | 0.00139 | 0.0001508 | 1.637e-05 | 0.000758 | 0.00262 |
 |(scale=1.0) m0=1020, m1/2=520, tanbeta=10, A0=0, sign(mu)=+ve| 0.000370459 | 0.000349461 | 0.0219488 | 1.82377e-06 | 9.89e-05 | 0.00111 | 0.00011836 | 1.266e-05 | 0.000506 | 0.00192 |
 |(scale=1.0) m0=1020, m1/2=540, tanbeta=10, A0=0, sign(mu)=+ve| 0.000283933 | 0.000290074 | 0.0175903 | 1.75143e-06 | 7.66e-05 | 0.000886 | 9.225e-05 | 9.84e-06 | 0.000339 | 0.00141 |
 |(scale=1.0) m0=1020, m1/2=560, tanbeta=10, A0=0, sign(mu)=+ve| 0.000217475 | 0.000240421 | 0.0141909 | 1.68123e-06 | 5.92e-05 | 0.000704 | 7.198e-05 | 7.62e-06 | 0.000228 | 0.00104 |
 |(scale=1.0) m0=1020, m1/2=580, tanbeta=10, A0=0, sign(mu)=+ve| 0.000167003 | 0.00019943 | 0.011469 | 1.61377e-06 | 4.55e-05 | 0.000557 | 5.623e-05 | 5.88e-06 | 0.000154 | 0.000762 |
 |(scale=1.0) m0=1020, m1/2=600, tanbeta=10, A0=0, sign(mu)=+ve| 0.000128316 | 0.000165206 | 0.00933295 | 1.54332e-06 | 3.5e-05 | 0.00044 | 4.384e-05 | 4.546e-06 | 0.000104 | 0.000559 |
 |(scale=1.0) m0=1020, m1/2=620, tanbeta=10, A0=0, sign(mu)=+ve| 9.8829e-05 | 0.000136885 | 0.0076165 | 1.47796e-06 | 2.68e-05 | 0.000346 | 3.426e-05 | 3.493e-06 | 7.06e-05 | 0.00041 |
 |(scale=1.0) m0=1020, m1/2=640, tanbeta=10, A0=0, sign(mu)=+ve| 7.61205e-05 | 0.000113332 | 0.00623641 | 1.41268e-06 | 2.04e-05 | 0.000271 | 2.672e-05 | 2.666e-06 | 4.8e-05 | 0.0003 |
 |(scale=1.0) m0=1020, m1/2=660, tanbeta=10, A0=0, sign(mu)=+ve| 5.88224e-05 | 9.37956e-05 | 0.00511153 | 1.34839e-06 | 1.56e-05 | 0.000212 | 2.082e-05 | 2.036e-06 | 3.27e-05 | 0.00022 |
 |(scale=1.0) m0=1020, m1/2=680, tanbeta=10, A0=0, sign(mu)=+ve| 4.54848e-05 | 7.75919e-05 | 0.00421621 | 1.28617e-06 | 1.18e-05 | 0.000165 | 1.63e-05 | 1.555e-06 | 2.23e-05 | 0.000161 |
 |(scale=1.0) m0=1020, m1/2=700, tanbeta=10, A0=0, sign(mu)=+ve| 3.51276e-05 | 6.41417e-05 | 0.00349007 | 1.2258e-06 | 8.94e-06 | 0.000128 | 1.2664e-05 | 1.184e-06 | 1.52e-05 | 0.000117 |
 |(scale=1.0) m0=1020, m1/2=720, tanbeta=10, A0=0, sign(mu)=+ve| 2.72763e-05 | 5.30593e-05 | 0.00288441 | 1.16609e-06 | 6.75e-06 | 9.95e-05 | 9.89e-06 | 9e-07 | 1.04e-05 | 8.55e-05 |
 |(scale=1.0) m0=1020, m1/2=740, tanbeta=10, A0=0, sign(mu)=+ve| 2.1101e-05 | 4.3983e-05 | 0.00239898 | 1.11083e-06 | 5.08e-06 | 7.68e-05 | 7.71e-06 | 6.83e-07 | 7.09e-06 | 6.22e-05 |
 |(scale=1.0) m0=1020, m1/2=760, tanbeta=10, A0=0, sign(mu)=+ve| 1.63735e-05 | 3.62516e-05 | 0.00199371 | 1.05581e-06 | 3.81e-06 | 5.91e-05 | 6.013e-06 | 5.17e-07 | 4.83e-06 | 4.51e-05 |
